Fecha;"indice Serie Original
2004=100";"indice Serie Desestacionalizada
2004=100";"indice Serie Tendencia-Ciclo
2004=100";"indice Electricidad gas y agua 
2004=100";Variacion porcentual ;Cantidad de servicios;Cantidad de personas;Cant vendidas televisores;Cant vendidas heladeras;Cant vendidas aire acondicionados;Cant vendidas lavarropas;Cant vendidas lavavajillas;Cant vendidas cocinas a gas;Cant vendidas cocina electricas;Cant vendidas calefactores y estufas a gas;Cant vendidas calefactores o estufas electricas;Cant vendidas  calefones y termotanques;Cant vendidas pequenos electrodomesticos;Cant vendidas ventiladores
1/1/2019;134,5362399;141,6854205;142,6739537;145,7274143;-0,0396%;824424;719759;88089;44587;143173;35997;7312;21816;25060;1920;3424;21848;188191;179494
1/2/2019;132,2678886;143,849475;142,7560293;138,2636718;1,5274%;829078;723155;81076;38715;86312;32448;6258;20376;24659;2039;3420;22723;182181;102373
1/3/2019;144,963255;141,9006821;142,8846332;134,7768259;-1,3547%;832045;725233;109018;37121;32124;47309;13054;27049;35946;6888;9787;36515;245360;17954
1/4/2019;149,9162214;142,4531191;143,0136912;129,2509867;0,3893%;838163;729778;87400;26838;15258;40531;13959;22955;28173;12592;25813;36427;196525;5974
1/5/2019;164,1356991;144,9016636;143,1017305;138,4585934;1,7188%;842716;733089;138758;36541;32336;62429;26162;30246;39346;33257;128541;46511;260494;3605
1/6/2019;150,8589717;143,8860685;143,11323;137,8027558;-0,7009%;847034;736172;125799;28591;30396;54594;30346;28485;28580;26408;163196;43713;225162;2485
1/7/2019;146,7770296;145,8241787;143,0175851;151,3804777;1,3470%;851573;739432;129612;30274;41753;56759;21300;32030;34010;26446;208127;48836;228472;2504
1/8/2019;141,2769347;144,9102691;142,7950458;142,8576016;-0,6267%;856108;742692;107599;33068;27480;48023;13874;29534;29242;11046;48427;41415;201673;4337
1/9/2019;134,8770665;140,6488944;142,4382524;132,2595101;-2,9407%;860877;746211;84948;32852;36591;40720;9882;24939;26325;9261;17555;33855;193908;10856
1/10/2019;141,6393366;143,8209453;141,9521276;136,8650748;2,2553%;866032;749982;126771;43993;71676;43630;10539;28761;35663;3196;5995;34744;277354;42103
1/11/2019;137,7718297;140,9723569;141,3531928;136,7328876;-1,9806%;870717;753379;129163;49062;124827;35961;6574;21141;29518;1668;3213;26010;221345;134472
1/12/2019;135,7651545;139,9325542;140,6723148;145,0851434;-0,7376%;875684;757042;92600;49120;97518;28820;5304;19753;24802;1647;2868;21367;227721;157321
1/1/2020;133,891086;141,4700751;139,9423731;151,9215961;1,0988%;881215;761163;85290;44276;88335;30460;5467;19657;21429;1558;3918;21814;176643;157799
1/2/2020;128,9736387;139,5619647;139,2027452;140,2242993;-1,3488%;887216;765673;71563;35664;53031;26904;4475;18149;19905;1876;3105;22911;152385;83099
1/3/2020;128,2110609;125,2339323;138,4938278;146,2974458;-10,2664%;892817;769881;81067;28991;19272;23079;5613;13462;17670;1630;4453;21023;128447;29460
1/4/2020;113,2950349;105,8918021;137,8551641;119,9871948;-15,4448%;897513;773373;84624;13502;7965;19158;6186;7883;14869;9455;21426;20452;96123;1188
1/5/2020;131,0295694;117,1194438;137,3228112;132,7566943;10,6029%;899139;774609;120081;28433;27367;40320;12548;19167;29124;27765;92285;32583;186017;1626
1/6/2020;132,5219646;124,2391912;136,9223376;143,2937698;6,0790%;900286;775427;107671;31920;38640;46533;17682;22649;32317;27056;153107;34463;195714;2309
1/7/2020;127,4636873;126,3977737;136,6710898;158,8598953;1,7374%;902746;777137;123352;39290;51263;48294;16099;25132;32530;25646;156144;33444;202177;3036
1/8/2020;125,1838928;128,9680955;136,5770793;144,5810037;2,0335%;906366;779785;79258;29769;21045;33692;8601;18956;24322;6373;23736;26369;167972;5268
1/9/2020;127,1750792;131,0683412;136,6328887;133,9536304;1,6285%;910475;782809;84806;35540;31488;34724;7964;20512;22936;4007;10476;26255;168323;12657
1/10/2020;131,3455119;133,5649973;136,8235271;132,3463575;1,9049%;914607;785814;107821;44153;69603;40822;9969;28416;30099;3386;3888;28289;238447;64648
1/11/2020;132,0686595;134,7996559;137,1332962;139,3738132;0,9244%;919273;789339;113598;50537;98079;36004;6075;24326;23966;2430;2891;26817;210723;121428
1/12/2020;133,8543514;136,698264;137,5472532;149,9753135;1,4085%;924824;793506;84841;43869;94700;27362;4481;19001;18216;1606;2457;22417;171681;230883
1/1/2021;131,7873397;140,6888499;138,0519303;151,016607;2,9193%;930075;797453;77072;44605;96143;30692;4975;19533;16493;2409;1656;22987;163347;151226
1/2/2021;126,5050902;138,3799471;138,6366004;128,495942;-1,6411%;934554;800799;65885;35480;31457;28896;6537;17929;17059;2750;2438;26070;159184;47925
1/3/2021;146,2228106;140,4348455;139,2926826;144,926742;1,4850%;939331;804452;111570;46544;32595;45329;10908;23960;27511;9003;8278;34612;213927;33493
1/4/2021;147,3326829;139,5271727;140,0161596;134,5809905;-0,6463%;945073;808936;90329;29396;13018;34837;9309;18467;20390;11667;17242;30634;176889;6010
1/5/2021;151,2212091;138,7106895;140,803011;146,8009731;-0,5852%;951450;813892;119084;28924;32662;37217;12338;21114;28066;26844;129241;39914;193465;2126
1/6/2021;149,0314741;141,2709298;141,6466542;157,8745911;1,8457%;957473;818455;136696;27023;34143;42040;14028;21367;26704;27005;213241;46045;204530;1463
1/7/2021;142,6120428;141,997001;142,5367843;163,9096863;0,5140%;974211;822482;122206;32708;32433;45714;13100;26254;27310;16571;102953;44216;197686;2477
1/8/2021;141,1609306;143,8871058;143,4619191;158,1679176;1,3311%;969700;826707;95882;33522;33593;39937;9091;24059;27130;7180;32382;36152;173949;5123
1/9/2021;141,4818953;144,9131346;144,4055306;139,6182597;0,7131%;974846;831520;85469;35053;34174;36717;8447;21879;26451;4038;5941;29230;168151;12531
1/10/2021;140,4330797;144,0955558;145,3448965;129,212503;-0,5642%;981200;836201;90733;40866;66894;36718;7046;22536;31898;2839;2816;27452;258381;80810
1/11/2021;144,6704608;146,3674462;146,2572149;139,5130623;1,5767%;987926;841409;131376;55507;121226;40043;6113;24593;31201;2663;1478;28238;215649;120495
1/12/2021;148,1492252;150,3355632;147,1169406;154,8626507;2,7111%;994860;846643;101459;57202;132493;31402;4731;19703;25998;1833;1465;20426;221392;207848
1/1/2022;138,1877009;147,1670983;147,899511;163,1752938;-2,1076%;1001201;851545;86404;54193;159823;32469;4820;17681;19370;2064;1894;21044;172368;206085
1/2/2022;136,8813774;149,1064411;148,5869946;137,7714123;1,3178%;1007614;856439;84766;37532;25643;31486;6128;17807;23523;2677;2675;26464;173517;39491
1/3/2022;152,7784335;147,884442;149,1636585;145,5114981;-0,8195%;1014469;861800;111105;43338;21973;45306;11862;22529;33503;6823;13049;40839;211458;17593
1/4/2022;155,7999572;150,0630264;149,6194805;138,8620305;1,4732%;1022035;867762;102296;33670;17960;43096;13437;21846;32972;12552;44095;44588;186241;3537
1/5/2022;162,9542807;150,1008568;149,9475535;156,0421821;0,0252%;1029486;873553;132222;33400;42427;52569;19311;25460;42660;29080;174257;57344;212862;2038
1/6/2022;159,3752779;151,6003633;150,1435934;166,2871213;0,9990%;1036187;878451;142713;33118;50116;53973;22489;27257;44615;26391;222286;64073;234586;2352
1/7/2022;151,2424185;151,6440816;150,2094287;159,5687687;0,0288%;1042386;883186;130474;41134;33459;53929;16861;29470;42727;15368;77727;57867;223228;3892
1/8/2022;150,2286102;151,3979356;150,1497994;150,4041584;-0,1623%;1049452;888404;98579;34029;21485;40905;9064;22131;30733;6331;24178;40706;189436;4693
1/9/2022;148,1315424;150,7707304;149,9766983;133,8360277;-0,4143%;1056838;894042;122676;35867;26373;38471;6939;20974;28408;3453;7858;35006;191643;10261
1/10/2022;146,2884702;149,2754157;149,712709;137,0967029;-0,9918%;1063296;898705;175539;44305;49197;41431;7151;22366;37118;2471;2442;33002;278445;44135
1/11/2022;147,7896208;148,3247809;149,3882746;145,2961592;-0,6368%;1069307;903144;226721;58387;147682;37617;4635;20044;31890;2282;1487;26840;224654;215940
1/12/2022;145,7346242;148,0571446;149,0335731;161,5164791;-0,1804%;1075243;907356;90863;56725;145333;30270;3602;17813;25392;1562;1707;21649;214987;209307
1/1/2023;142,2390176;149,883215;148,6776362;165,1327937;1,2334%;1080953;911517;75720;53286;95487;35252;4640;20011;25213;1787;2575;22858;226546;148032
1/2/2023;137,0581152;150,0907054;148,3463605;145,8116922;0,1384%;1087120;916064;70052;35910;47180;33546;4656;16420;26328;2645;3888;22959;231994;95108
1/3/2023;154,6533999;149,6290662;148,0662365;164,3994829;-0,3076%;1093448;920755;92991;50124;52351;44898;7542;20760;28185;4690;5799;31785;236169;72773
1/4/2023;149,0435532;146,2957617;147,8600618;132,9803375;-2,2277%;1099577;925195;109744;39076;25168;50005;15025;25518;34145;12002;38348;46201;218934;11859
1/5/2023;153,8112935;145,3151658;147,7456151;144,690526;-0,6703%;1105991;929843;140757;36910;28758;61559;21178;30122;35307;36345;54394;53173;259119;3581
1/6/2023;151,9410084;145,2414815;147,7304418;154,3139547;-0,0507%;1112503;934487;122438;29783;46984;48515;15852;22235;31573;56471;145427;53270;220840;2922
